a        | 啊  | Particle                       → Ahhh, Oh, Aha
xu       | 吁  | Appeal                         → Gasping
xu       | 蓄  | Store                          → Gather, Xudianchichang, Long-planned
xu       | 诩  | Boast                          → Jiaxu|jiaa, Zhangxu, Yuanxu
xu       | 胥  | Official                       → Xupu, Government
xu       | 戌  | Eleventh                       → Jiaxushen
xu       | 酗  | Binge                          → [无建议, 可用首字母: GJKLQTUXYZ]
xu       | 顼  | Surname Xu                     → Zhuanxu, Zhao, Zhaoxu
xu       | 蓿  | Clover                         → [无建议, 可用首字母: GJKLQTUXYZ]
xuan     | 选  | Choose                         → Female, Athlete, Two-way
xuan     | 宣  | Declare                        → Xuān'ēn, Xuanlu, Xuanzhou
xuan     | 轩  | Carriage                       → Upright, Tongxuan, Magnificent
xuan     | 眩  | Dizzy                          → Vertigo
xuan     | 炫  | Dazzle                         → Qiucixuan
xuan     | 萱  | Daylily                        → Fanxiaoxuan, Zhang, Xuanyáng
xuan     | 漩  | Whirlpool                      → Xuanwomingren
xuan     | 暄  | Warm                           → [无建议, 可用首字母: ABEFIKMNOQTUVXYZ]
xuan     | 渲  | Wash                           → [无建议, 可用首字母: ABEFIKMNOQTUVXYZ]
xue      | 学  | Study                          → Learner, Anthropology, Huaqiaodaxue
xue      | 血  | Blood                          → Vein, Anemia, Ancestry
xue      | 雪  | Snow                           → Xuefolan, Wangxuexia, Limingxue
xue      | 穴  | Cave                           → Ant, Nest, Longxue
xue      | 薛  | Shrub                          → Xuezhaoying, Xueqiang, Xuejixuan
xue      | 靴  | Boot                           → [无建议, 可用首字母: ADEFGHIKLMNOQRTUVWXYZ]
xue      | 鳕  | Cod                            → [无建议, 可用首字母: ADEFGHIKLMNOQRTUVWXYZ]
xun      | 寻  | Find                           → Qianxun, Ordinary, Pursue
xun      | 训  | Train                          → Weishenggongjixun, Piaoyongxun, Xunlianjidi
xun      | 迅  | Fast                           → Zhuxun, Luxun, Lu
xun      | 循  | Follow                         → Luxun, Positive, Yinzun
xun      | 勋  | Merit                          → Ouyangxun, Linghongxun, Yanzhengxun
xun      | 熏  | Smoke                          → Bacon, Edify, Liushixun
xun      | 旬  | Month                          → Last, Xiaolixun, Xunyi
xun      | 驯  | Tame                           → Wild
xun      | 荀  | Surname Xun                    → Xunxu, Xunyun, Xun
xun      | 薰  | Fragrant                       → Caoxunxuan, Yanbenxun, Lavender
xun      | 殉  | Die                            → [无建议, 可用首字母: BCEGKLOPQUVWXYZ]
xun      | 醺  | Drunk                          → [无建议, 可用首字母: BCEGKLOPQUVWXYZ]
xun      | 洵  | True                           → Zhaoxun, Zhuxun, Lixun
xun      | 汛  | Flood                          → [无建议, 可用首字母: BCEGKLOPQUVWXYZ]
xun      | 徇  | Follow                         → [无建议, 可用首字母: BCEGKLOPQUVWXYZ]
ya       | 呀  | Ah                             → Oh, Oh, Oh
ya       | 压  | Press                          → Lossless, Low, Low
ya       | 涯  | Cliff                          → Like
ya       | 崖  | Cliff                          → Huqiumoyatike, Kongwangshanmoyazaoxiang, Qianfoyazaoxiang
ya       | 押  | Detain                         → Imprison
ya       | 鸭  | Duck                           → Little, Heiyazi, Ugly
ya       | 鸦  | Crow                           → Opium, Old, Laoyaqiao
ya       | 蚜  | Aphid                          → [无建议, 可用首字母: HIJKLNOQUVXZ]
ya       | 揠  | Pull up                        → [无建议, 可用首字母: HIJKLNOQUVXZ]
ya       | 氩  | Argon                          → [无建议, 可用首字母: HIJKLNOQUVXZ]
yan      | 眼  | Eye                            → Close, Contact, Compound
yan      | 言  | Word                           → Comparatively, Judgment, Constant
yan      | 严  | Strict                         → Quite, Xiongyan, Zhangjingyan
yan      | 烟  | Tobacco                        → Vast, Nicotine, Vast
yan      | 演  | Perform                        → Concert, Comedian, Xiaozhaodigaoyan
yan      | 验  | Test                           → Verifiable, Creative, Verification
yan      | 研  | Study                          → Zetianyaner, Qiyansuo, Zhuyan
yan      | 燕  | Swallow                        → Central, Caoyanhua, Jinyan
yan      | 颜  | Face                           → Zhaoyan, Cuanlongyanbei, Xizongwanyandan
yan      | 掩  | Hide                           → Close, Conceal, Cover
yan      | 延  | Extend                         → Chenyannian, Continue, Jiangyan
yan      | 厌  | Tired                          → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 艳  | Gorgeous                       → Crimson, Xiongyan, Zhangyanbin
yan      | 沿  | Edge                           → Coastal, Coastal, Coastal
yan      | 焰  | Flame                          → Xuyan, Jinyan
yan      | 岩  | Rock                           → Xiuyan, Cave, Naked
yan      | 淹  | Flood                          → Jiangyan
yan      | 咽  | Swallow                        → unable
yan      | 宴  | Feast                          → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 嫣  | Beautiful                      → Xiaxiaoyan, Crimson, Vivid
yan      | 妍  | Beautiful                      → Caiyan, Zhang, Caizhuoyan
yan      | 彦  | Talented                       → Jieliyan, Jinchuanyayan, Jintengzhenyan
yan      | 雁  | Wild                           → Xiaoyanta, Cranes, Chenguyan
yan      | 阎  | Gate                           → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 盐  | Salt                           → Containing, Nitrite, Nitrate
yan      | 焉  | How                            → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 衍  | Spread                         → Xiayan, Jinchengdisimayan, Zou
yan      | 奄  | Weak                           → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 砚  | Tablet                         → Cheng, Jinyuyan, Xinyan
yan      | 俨  | Solemn                         → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 晏  | Peaceful                       → Qiyanruzi, Qiyanruzilvyanruzi, Qingyanfang
yan      | 胭  | Rouge                          → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 蜒  | Gecko                          → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 湮  | Bury                           → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 筵  | Feast                          → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 偃  | Lie                            → Jiyan, Zhufuyan
yan      | 腌  | Salt                           → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 恹  | Listless                       → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 谚  | Saying                         → Vernacular
yan      | 滟  | Rippling                       → [无建议, 可用首字母: CJKNQUVXZ]
yan      | 郾  | Surname Yan                    → [无建议, 可用首字母: CJKNQUVXZ]
yang     | 养  | Raise                          → Living, Liaoyangyuan, Nutritional
yang     | 样  | Sample                         → Two, Unusual, Four
yang     | 阳  | Sun                            → Xiaoshenyang, Fanguangyang, Lueyang
yang     | 杨  | Poplar                         → Erlangshenyangjian, Xiaobaiyang, Xiyang
yang     | 扬  | Raise                          → Xiaoyang, Karayan, Jiyang
yang     | 洋  | Ocean                          → Beiyang, Foreign, Foreign
yang     | 痒  | Itch                           → [无建议, 可用首字母: BEFHJKLNQTUXZ]
yang     | 漾  | Ripple                         → [无建议, 可用首字母: BEFHJKLNQTUXZ]
yang     | 氧  | Oxygen                         → Hydrogen, Hydrogen, Ethylene
yang     | 恙  | Illness                        → [无建议, 可用首字母: BEFHJKLNQTUXZ]
yang     | 佯  | Pretend                        → Feigned
yang     | 殃  | Disaster                       → [无建议, 可用首字母: BEFHJKLNQTUXZ]
yang     | 怏  | Dissatisfied                   → Hesitation, Unhappy
yang     | 秧  | Sprout                         → [无建议, 可用首字母: BEFHJKLNQTUXZ]
yang     | 炀  | Scorch                         → Emperor, Luyanggong, Luyanggongjixi
yang     | 疡  | Sore                           → Ulcer
yao      | 要  | Want                           → Unreasonable, Need, Essence
yao      | 摇  | Shake                          → Tottering, Unstable, Unwavering
yao      | 药  | Drug                           → Pill, Prescription, Officinal
yao      | 妖  | Charming                       → Eliminate, Enchanting, Pretty
yao      | 腰  | Waist                          → Zhe, Yaoludi, Money
yao      | 姚  | Surname                        → Taizuyaochang, Yaofu, Yaoyiwei
yao      | 钥  | Key                            → Xiyao, Private, Public
yao      | 夭  | Delicate                       → Peach
yao      | 谣  | Rumor                          → [无建议, 可用首字母: EIMNOPQTUVXYZ]
yao      | 窑  | Kiln                           → Xiyao, Yaochang, Yaotoucun
yao      | 吆  | Call                           → [无建议, 可用首字母: EIMNOPQTUVXYZ]
yao      | 肴  | Dish                           → [无建议, 可用首字母: EIMNOPQTUVXYZ]
yao      | 窈  | Secluded                       → Elegant
yao      | 杳  | Dark                           → Yao
yao      | 繇  | Divination                     → Zong, Zhongyao
yao      | 徭  | Corvée                         → [无建议, 可用首字母: EIMNOPQTUVXYZ]
yao      | 鳐  | Ray                            → Electric
ye       | 也  | Particle                       → Jiatengdaye, Guiliheye, Yesudieer
ye       | 业  | Career                         → Ecological, Yetian, Beijing
ye       | 野  | Field                          → Trail, Beiyewu, Bison
ye       | 液  | Fluid                          → Extraction, Juice, Waste
ye       | 页  | Page                           → Yeboken, Two, Yebochonge
ye       | 冶  | Smelt                          → Temper, Yecheng, Gongye
ye       | 噎  | Choke                          → [无建议, 可用首字母: BEGHJKOQRTWXYZ]
ye       | 椰  | Coconut                        → [无建议, 可用首字母: BEGHJKOQRTWXYZ]
ye       | 掖  | Support                        → Zhangyejun, Yexian, Zhangye
ye       | 咽  | Swallow                        → Whimper, Eerie, Throat
yi       | 以  | With                           → Unbelievable, Knowing, Unparalleled
yi       | 已  | Already                        → Known, Until, Unable
yi       | 意  | Meaning                        → Unintentional, Unrestrained, Quyi
yi       | 衣  | Clothes                        → Undress, Underpants, Xinyuanjieyi
yi       | 亿  | Hundred                        → [无建议, 可用首字母: KQUXZ]
yi       | 易  | Easy                           → Zhengaigongjiyi, Zhuyi, Usability
yi       | 依  | Rely                           → Kelamayi, Unyielding
yi       | 义  | Meaning                        → Unilateralism, Zunyi, Key
yi       | 异  | Strange                        → Xor, Zhuyi, Unusual
yi       | 疑  | Doubt                          → Unquestionable, Q&a, Question
yi       | 议  | Discuss                        → Zunyi, Zunyihuiyihuizhi, Qing
yi       | 医  | Treat                          → Xijingyiyuan, Zhongliuyiyuan, Xinyilu
yi       | 伊  | He                             → Zhayier, Kaiyi, Kelinteyisitewude
yi       | 移  | Move                           → Upward, Unchanging
yi       | 忆  | Recall                         → [无建议, 可用首字母: KQUXZ]
yi       | 艺  | Art                            → Zhangyimou, Kongyifei
yi       | 亦  | Too                            → Zhangyimin
yi       | 翼  | Wing                           → Zhangyixiang, Ke'erqin, Zhangzuyi
yi       | 遗  | Behind                         → Zhengguoqushouyizhi, Karuoyizhi, Xinglongwayizhi
yi       | 益  | Profit                         → Qiwengongyigu, Qunyicun, Qunyi
yi       | 宜  | Suitable                       → Qinayierha, Zhengxinyi, Qiongguliyierha
yi       | 椅  | Seat                           → [无建议, 可用首字母: KQUXZ]
yi       | 仪  | Ceremony                       → Zengbaoyi, Zhangyouyi, Qianyiji
yi       | 逸  | Ease                           → Zhangyunyi, Xinyi, Zhouyiqun
yi       | 姨  | Aunt                           → Xue
yi       | 抑  | Restrain                       → Unable
yi       | 毅  | Firm                           → Xiaoyisu, Zhongyi, Zhangyijun
yi       | 役  | Labor                          → [无建议, 可用首字母: KQUXZ]
yi       | 译  | Translate                      → Zhangyi, Xianfanyixueyuan, Zhangjiayi
yi       | 夷  | Flat                           → Zhoujianwangjiyi, Zhenglinggongjiyi, Zhouyiwang
yi       | 溢  | Brim                           → Zhangyi
yi       | 倚  | Depend                         → [无建议, 可用首字母: KQUXZ]
yi       | 矣  | Particle                       → [无建议, 可用首字母: KQUXZ]
yi       | 谊  | Friendship                     → Zhengyi, Zhongsuyouyijinianta
yi       | 乙  | Second                         → Qiyigonglvde, Xiaoyi, Zhiyueshenhuangchengyi
yi       | 蚁  | Ant                            → Queen
yi       | 奕  | Bright                         → Zhaoyi, Qingwenzongyizhu
yi       | 漪  | Ripple                         → [无建议, 可用首字母: KQUXZ]
yi       | 疫  | Plague                         → Quarantine
yi       | 绎  | Sort                           → Xiaoyi, Xiongyi
yi       | 裔  | Descendant                     → Zhangyi
yi       | 揖  | Salute                         → [无建议, 可用首字母: KQUXZ]
yi       | 颐  | Cheek                          → Zhangkeyi, Zhangyiwu, Zhou
yi       | 驿  | Post                           → [无建议, 可用首字母: KQUXZ]
yi       | 弈  | Chess                          → [无建议, 可用首字母: KQUXZ]
yi       | 懿  | Virtuous                       → Zhouyiwang, Zhaoyi, Zhangyi
yi       | 邑  | City                           → Xunyi, Xiayi, Xiangyi
yi       | 屹  | Towering                       → [无建议, 可用首字母: KQUXZ]
yi       | 沂  | Yi River                       → [无建议, 可用首字母: KQUXZ]
yi       | 诣  | Visit                          → [无建议, 可用首字母: KQUXZ]
yi       | 呓  | Sleeptalk                      → [无建议, 可用首字母: KQUXZ]
yi       | 翊  | Assist                         → Zhuyijun, Zuofengyi, Xuyi
yi       | 蜴  | Lizard                         → [无建议, 可用首字母: KQUXZ]
yi       | 弋  | Shoot                          → Zhangyi
yi       | 尾  | Tail                           → Xiweiyoujiali, Zhongweilongsheng, Zhao
yi       | 旖  | Graceful                       → [无建议, 可用首字母: KQUXZ]
yi       | 祎  | Beautiful                      → Zhouhongyi
yi       | 臆  | Guess                          → [无建议, 可用首字母: KQUXZ]
yi       | 彝  | Yi (ethnic)                    → Zhuyizun, Xiayunyixiawanchunfuzimu
yi       | 贻  | Hand down                      → Zhouyibai
yi       | 佚  | Lost                           → [无建议, 可用首字母: KQUXZ]
yi       | 迤  | Winding                        → [无建议, 可用首字母: KQUXZ]
yi       | 缢  | Hang                           → [无建议, 可用首字母: KQUXZ]
yi       | 翳  | Shade                          → [无建议, 可用首字母: KQUXZ]
yi       | 胰  | Pancreas                       → [无建议, 可用首字母: KQUXZ]
yi       | 痍  | Wound                          → [无建议, 可用首字母: KQUXZ]
yi       | 饴  | Candy                          → [无建议, 可用首字母: KQUXZ]
yi       | 猗  | Beautiful                      → [无建议, 可用首字母: KQUXZ]
yi       | 肄  | Study                          → [无建议, 可用首字母: KQUXZ]
yi       | 刈  | Cut                            → [无建议, 可用首字母: KQUXZ]
yi       | 钇  | Yttrium                        → [无建议, 可用首字母: KQUXZ]
yin      | 因  | Reason                         → What, Gene, Gene
yin      | 音  | Sound                          → Guanyin, Jazz, Guanyintang
yin      | 隐  | Hide                           → Vague, Faintly, Yinzhe
yin      | 银  | Silver                         → Gold, Yinyi, Jinyinchuan
yin      | 阴  | Shade                          → Zhuyin, Yinyangjie, Yinping
yin      | 吟  | Recite                         → Groaning, Wangyinxiao, Water
yin      | 淫  | Excessive                      → Wealth, Yínhǔ
yin      | 姻  | Marriage                       → Fate, Family
yin      | 瘾  | Habit                          → Nicotine
yin      | 胤  | Heir                           → Zhangjiayin, Yinzhen, Zhouyin
yin      | 荫  | Shade                          → Zhangyinlin, Under, Zhangyinheng
yin      | 蚓  | Earthworm                      → Zhenshuiyin
yin      | 喑  | Mute                           → [无建议, 可用首字母: FGJKNQUVWXYZ]
ying     | 应  | Should                         → Enthusiastic, Network, Effect
ying     | 英  | Hero                           → Xuezhaoying, Zhangtianying, Xiangying
ying     | 营  | Camp                           → Nutritional, Dormitory, Deliberately
ying     | 硬  | Hard                           → Ultra-hard, Excellent, Arteriosclerosis
ying     | 鹰  | Hawk                           → Eagle's, Eagle, Eagle
ying     | 赢  | Win                            → Qinhuiwenwangyingsi
ying     | 莹  | Bright                         → Lustrous, Zhouying, Xueying
ying     | 盈  | Full                           → Laughing, Light, Daying
ying     | 婴  | Baby                           → Abandoned, Liuying, Ziying
ying     | 樱  | Cherry                         → Dongfangwenying
ying     | 颖  | Sharp                          → Novelty, Linzhiying, Xiao
ying     | 蝇  | Fly                            → [无建议, 可用首字母: ADEKLNQUVXZ]
ying     | 嬴  | Ying (surname)                 → Ershihuangdiyinghuhai, Qinxiaowenwangyingzhu, Qinershiyinghuhai
ying     | 萤  | Firefly                        → [无建议, 可用首字母: ADEKLNQUVXZ]
ying     | 萦  | Wind                           → Xuhaoying, Zhangqianying, Lingering
ying     | 瑛  | Jade                           → Lanying, Zhouchuanying, Zhouyingqi
ying     | 缨  | Tassel                         → Noble, Zhuying
ying     | 瀛  | Sea                            → Liyinghuan, Lichuying, Xushangying
ying     | 膺  | Chest                          → Niyiying, Liying, Diying
ying     | 鹦  | Parrot                         → Nautilus
ying     | 璎  | Jade pendant                   → [无建议, 可用首字母: ADEKLNQUVXZ]
ying     | 颍  | Ying River                     → Linying
ying     | 茔  | Tomb                           → [无建议, 可用首字母: ADEKLNQUVXZ]
ying     | 楹  | Pillar                         → [无建议, 可用首字母: ADEKLNQUVXZ]
ying     | 媵  | Concubine                      → [无建议, 可用首字母: ADEKLNQUVXZ]
yong     | 永  | Forever                        → Wangshiyong, Cuiyongyuan, Zhouyongxiang
yong     | 勇  | Brave                          → Liyongyong, Clever, Courageously
yong     | 涌  | Surge                          → Rising, Tears, Liyong
yong     | 佣  | Hire                           → Temporary, Maid, Commission
yong     | 泳  | Swim                           → Chenyongbei, Winter, Goggles
yong     | 雍  | Harmonious                     → Nayong, Zhouwenyong, Guyong
yong     | 咏  | Sing                           → Liyong, Aria, Liangyongqi
yong     | 甬  | Yong River                     → Corridor
yong     | 俑  | Figurine                       → Terracotta, Terracotta, Qin
yong     | 臃  | Swollen                        → [无建议, 可用首字母: ACDGKLMNQRTVWXZ]
yong     | 邕  | Yong (city)                    → Caiyong, Zhouwudiyuwenyong, Li
yong     | 壅  | Block                          → [无建议, 可用首字母: ACDGKLMNQRTVWXZ]
yong     | 鳙  | Bighead carp                   → [无建议, 可用首字母: ACDGKLMNQRTVWXZ]
you      | 由  | By                             → Zhu, North, Needs
you      | 友  | Friend                         → Jiyou, Zhu, International
you      | 优  | Superior                       → Preferential, Xiaolinyouzi, Indecisive
you      | 犹  | Like                           → Jewish, Judas, Jewish
you      | 尤  | Especially                     → Ziyou, Imitate
you      | 忧  | Worry                          → Internal
you      | 悠  | Distant                        → Zhongcunyouyi
you      | 诱  | Lure                           → Induce, Induced
you      | 佑  | Bless                          → Xiacengyou, Zhaoyou, Zhan
you      | 黝  | Dark                           → [无建议, 可用首字母: IJKNPVXZ]
you      | 攸  | Distant                        → Jiangyoukuo|jiangyougua, Xuyou, Xunyou|xuna
you      | 鱿  | Squid                          → [无建议, 可用首字母: IJKNPVXZ]
you      | 莠  | Weeds                          → [无建议, 可用首字母: IJKNPVXZ]
you      | 囿  | Enclosure                      → [无建议, 可用首字母: IJKNPVXZ]
you      | 鼬  | Weasel                         → [无建议, 可用首字母: IJKNPVXZ]
you      | 宥  | Forgive                        → [无建议, 可用首字母: IJKNPVXZ]
yu       | 与  | And                            → Keep, Unparalleled, Qingyulugucheng
yu       | 于  | In                             → Under, Use, Used
yu       | 语  | Speak                          → Quotation, Korean, Zhuyu
yu       | 雨  | Rain                           → Unstoppable, Xueshiyu, Zhufangyu
yu       | 玉  | Jade                           → Zhongyangyuhuangdadiqi, Xuyulan, Zhaoyulian
yu       | 余  | Remaining                      → Xu
yu       | 遇  | Meet                           → Unable, Xuyu, Unfortunately
yu       | 欲  | Want                           → Utterly, Unable, Qiu
yu       | 羽  | Feather                        → Xiangyu, Zhangyucai, Zhuangyu
yu       | 宇  | Eaves                          → Zhouwudiyuwenyong, Zhao, Zhoumingdiyuwenyu
yu       | 鱼  | Fish                           → Xiuyu, Kaoyu, Zhoukoudianyuhuashichandi
yu       | 预  | Prepare                        → Zongyu, Unforeseeable, Qualifying
yu       | 育  | Educate                        → Underdeveloped, Zhuzaiyu, Quality
yu       | 谷  | Valley                         → Zhougucheng, Xiaopangu, Quangumao
yu       | 御  | Imperial                       → [无建议, 可用首字母: KQUXZ]
yu       | 郁  | Lush                           → Zhangwenyu
yu       | 豫  | Hesitate                       → Qiyu
yu       | 域  | Area                           → Qu, Xiyuma, Unknown
yu       | 狱  | Jail                           → [无建议, 可用首字母: KQUXZ]
yu       | 予  | Give                           → Zhangxinyu, Zhanghanyu, Xiangjingyu
yu       | 愈  | More                           → Zhouyu
yu       | 浴  | Wash                           → [无建议, 可用首字母: KQUXZ]
yu       | 誉  | Fame                           → Zhangyu, Xuyuteng
yu       | 愉  | Happy                          → [无建议, 可用首字母: KQUXZ]
yu       | 愚  | Stupid                         → [无建议, 可用首字母: KQUXZ]
yu       | 裕  | Abundant                       → Qinyubo, Zuotengyumei, Zhitianyuer
yu       | 娱  | Amuse                          → [无建议, 可用首字母: KQUXZ]
yu       | 瑜  | Jade                           → Zhu, Zhou, Zhuzhiyu
yu       | 喻  | Explain                        → Use, Use
yu       | 寓  | Imply                          → Qingniangongyu
yu       | 渔  | Fish                           → Zhouyu, Xuyouyu
yu       | 虞  | Yu (state)                     → Xianyu
yu       | 俞  | Surname Yu                     → [无建议, 可用首字母: KQUXZ]
yu       | 禹  | Yu the Great                   → Xiayu, Zhuanyu, Zhaodengyu
yu       | 煜  | Bright                         → Zhangdayu
yu       | 舆  | Cart                           → [无建议, 可用首字母: KQUXZ]
yu       | 谕  | Instruct                       → Xiewanyu
yu       | 逾  | Exceed                         → [无建议, 可用首字母: KQUXZ]
yu       | 榆  | Elm                            → [无建议, 可用首字母: KQUXZ]
yu       | 屿  | Islet                          → [无建议, 可用首字母: KQUXZ]
yu       | 渝  | Change                         → Until, Zhangbenyu, Zhouyumin
yu       | 迂  | Stubborn                       → [无建议, 可用首字母: KQUXZ]
yu       | 淤  | Silt                           → [无建议, 可用首字母: KQUXZ]
yu       | 禺  | Yu (state)                     → [无建议, 可用首字母: KQUXZ]
yu       | 芋  | Taro                           → [无建议, 可用首字母: KQUXZ]
yu       | 聿  | Brush                          → Zhuyujian, Zhuyujinyue, Zhuyuming
yu       | 臾  | Moment                         → [无建议, 可用首字母: KQUXZ]
yu       | 揄  | Lift                           → [无建议, 可用首字母: KQUXZ]
yu       | 峪  | Valley                         → [无建议, 可用首字母: KQUXZ]
yu       | 觎  | Covet                          → [无建议, 可用首字母: KQUXZ]
yu       | 谀  | Flatter                        → [无建议, 可用首字母: KQUXZ]
yu       | 腴  | Fat                            → [无建议, 可用首字母: KQUXZ]
yu       | 庾  | Granary                        → [无建议, 可用首字母: KQUXZ]
yu       | 圄  | Prison                         → [无建议, 可用首字母: KQUXZ]
yu       | 鬻  | Sell                           → [无建议, 可用首字母: KQUXZ]
yu       | 纡  | Winding                        → [无建议, 可用首字母: KQUXZ]
yu       | 伛  | Hunchbacked                    → [无建议, 可用首字母: KQUXZ]
yu       | 阈  | Threshold                      → Qiaigongyulu
yu       | 雩  | Rain ceremony                  → [无建议, 可用首字母: KQUXZ]
yu       | 尉  | Military                       → [无建议, 可用首字母: KQUXZ]
yu       | 蔚  | Vivid                          → Qiuweiliu, Zhangweihua
yuan     | 原  | Source                         → Please, Prototype, Principle-based
yuan     | 远  | Far                            → Long, Zhoushouyuan, Long-term
yuan     | 员  | Member                         → Translator, Jiao, Performer
yuan     | 元  | First                          → Liyuanhong, Lantern, Zhangyuanfang
yuan     | 愿  | Wish                           → Let, Last, Things
yuan     | 园  | Garden                         → Jinxiujiayuan, Lieshigongyuan, Xinghuayuan
yuan     | 源  | Source                         → Teaching, Tanghuaiyuan, Energy
yuan     | 圆  | Round                          → Oboe, Long, Lychee
yuan     | 缘  | Fate                           → Previous, It’s, Insulating
yuan     | 怨  | Resentment                     → People's, Lamentation, Enemy
yuan     | 袁  | Yuan                           → [无建议, 可用首字母: EIJLOPQTUVXZ]
yuan     | 辕  | Shaft                          → Xuanyuan
yuan     | 冤  | Wronged                        → Evil
yuan     | 苑  | Garden                         → Xinyuan, Jindumingyuan, Zizhuyuan
yuan     | 鸳  | Mandarin                       → [无建议, 可用首字母: EIJLOPQTUVXZ]
yuan     | 垣  | Wall                           → Xinyuan, Xiangyuanxian, Lixiyuan
yuan     | 沅  | Yuan River                     → Liyuanzhi, Zhengyuan, Jinzaiyuan
yue      | 说  | Speak                          → Novelist, Undeniable, Persuasion
yue      | 约  | Agree                          → Frugality, New, Date
yue      | 跃  | Jump                           → Transition, Fish, Wangyuewen
yue      | 乐  | Joyful                         → Wind, Film, Chenshunle
yue      | 曰  | Say                            → Named, Then
yue      | 钺  | Axe                            → Nieyue, Wangyue
yun      | 云  | Say                            → Miyun, Guyanzhuoyun, Liuyunhan
yun      | 运  | Carry                          → Operation, Grain, Loading
yun      | 韵  | Rhyme                          → Yunyuan, Keyun, Tone
yun      | 芸  | Rue                            → Jiangyun, Yiyunguan, Liuyun
yun      | 蕴  | Contain                        → Xueyun, Meaning, Zhuangyunkuan
yun      | 筠  | Bamboo                         → Jiangjun, Jicengjun, Jiangzhujun
yun      | 酝  | Brew                           → [无建议, 可用首字母: EGJKLMNOQTVXYZ]
yun      | 纭  | Confused                       → [无建议, 可用首字母: EGJKLMNOQTVXYZ]
yun      | 恽  | Surname Yun                    → Zhengxigongjiyun, Jiyun, Xunyun
yun      | 郧  | Surname Yun                    → Yun, Yunxi, Yunyang
za       | 咋  | How                            → Astonishing
za       | 砸  | Hit                            → Looting, Smash, Smash
zai      | 在  | At                             → Currently, Floating, Zhouenlaizaijinhuodongjiuzhi
zai      | 再  | Again                          → Second, Marry, Recycle
zai      | 宰  | Govern                         → Shaozai, Jizai, Zaifu
zai      | 栽  | Grow                           → Soilless, Potted, Cultivated
zai      | 仔  | Young                          → Careful, Carefully, Wanzai
zai      | 崽  | Young animal                   → [无建议, 可用首字母: BCFHIJKMNOPQRSTUVWXZ]
zang     | 葬  | Bury                           → Follow, Funeral, Participate
zang     | 赃  | Booty                          → Illegally
zao      | 遭  | Suffer                         → Unexpected, Tragically
zao      | 糟  | Dregs                          → Worst, Worse, Wine
zao      | 燥  | Dry                            → Hot
zao      | 噪  | Din                            → Noise, Noise, Noise
zao      | 灶  | Stove                          → Gas, Kitchen, Zhongzao
zao      | 枣  | Date                           → Zaoyang, Zaoyuan, Zaoqiang
zao      | 皂  | Soap                           → Zaojiaoshu, Perfumed, Jujube
zha      | 扎  | Prick                          → Bound, Zhashilunbusi, Xizha
zha      | 炸  | Fry                            → Thunderclap, Mountain, Explosive
zha      | 诈  | Cheat                          → Trickery, Extort, Becoming
zha      | 喳  | Chatter                        → [无建议, 可用首字母: ABEIKLMOQRTUVXYZ]
zha      | 栅  | Fence                          → Main, Iron
zha      | 闸  | Gate                           → Yangzha, Zhabei, Zhakou
zha      | 榨  | Press                          → Extraction, Youzha
zha      | 吒  | Shout                          → [无建议, 可用首字母: ABEIKLMOQRTUVXYZ]
zha      | 咤  | Shout                          → [无建议, 可用首字母: ABEIKLMOQRTUVXYZ]
zha      | 蚱  | Grasshopper                    → [无建议, 可用首字母: ABEIKLMOQRTUVXYZ]
zhai     | 寨  | Stockade                       → Miao, Junzhai, Village
zhai     | 斋  | Study                          → Rong, Jingxinzhai, Mabenzhai
zhan     | 站  | Stand                          → Nuclear, Nanjing, Power
zhan     | 战  | Fight                          → War, War, Psychological
zhan     | 斩  | Cut                            → Harvest
zhan     | 沾  | Dip                            → Zhanyi, Wet, Zhanhua
zhan     | 蘸  | Dip                            → [无建议, 可用首字母: AHJKLMNPQRVWXYZ]
zhan     | 粘  | Stick                          → Adhesion, Paste, Non-stick
zhan     | 盏  | Cup                            → Jinzhan, Lamp
zhan     | 詹  | Surname Zhan                   → Zhanyawen, Zhanmushi, Zhanruiwen
zhan     | 湛  | Deep                           → Zhanhequ, Liu, Azure
zhan     | 毡  | Felt                           → Woolen, Like, Zhanfang
zhang    | 章  | Rule                           → Guyuanzhangjie, Fourth, Yuzhangjun
zhang    | 掌  | Palm                           → Fish, Wield, Wangzhanggui
zhang    | 丈  | Elder                          → Wuzhangyuan, Husband, Qiuqianzhang
zhang    | 帐  | Tent                           → Under
zhang    | 仗  | Battle                         → Firecracker, Guard, Flaming
zhang    | 障  | Barrier                        → Fault, Fault, Guarantee
zhang    | 涨  | Rise                           → Flush, Fluctuations, Full
zhang    | 杖  | Cane                           → Walking
zhang    | 账  | Bill                           → Account, Accounting, Account
